HS부호,HS6단위,품목 대분류,품목상세
0101211000,0101.21,말,말 : 농가 사육용
0101219000,0101.21,말,말 : 기타
0101291000,0101.29,말,말 : 경주말
0101299000,0101.29,말,말 : 기타
0101300000,0101.30,기타 산 동물,기타 산 동물 : 당나귀
0101900000,0101.90,기타 산 동물,기타 산 동물 : 기타
0102211000,0102.21,소,소 : 젖소
0102212000,0102.21,소,소 : 육우(肉牛)
0102219000,0102.21,소,소 : 기타
0102291000,0102.29,소,소 : 젖소
0102292000,0102.29,소,소 : 육우(肉牛)
0102299000,0102.29,소,소 : 기타
0102310000,0102.31,소,소 : 번식용
0102391000,0102.39,소,소 : 젖소
0102392000,0102.39,소,소 : 육우(肉牛)
0102399000,0102.39,소,소 : 기타
0102901000,0102.90,소,소 : 번식용
0102909000,0102.90,, : 기타
0102909010,0102.90,소,소 : 젖소
0102909020,0102.90,소,소 : 육우(肉牛)
0102909090,0102.90,소,소 : 기타
0103100000,0103.10,돼지,돼지 : 번식용
0103910000,0103.91,돼지,돼지 : 중량이 50킬로그램 미만인 것
0103920000,0103.92,돼지,돼지 : 중량이 50킬로그램 이상인 것
0104101000,0104.10,기타 산 동물,기타 산 동물 : 번식용
0104109000,0104.10,기타 산 동물,기타 산 동물 : 기타
0104201000,0104.20,기타 산 동물,기타 산 동물 : 젖염소
0104209000,0104.20,기타 산 동물,기타 산 동물 : 기타
0105111000,0105.11,닭,닭 : 번식용
0105119000,0105.11,닭,닭 : 기타
0105120000,0105.12,칠면조,칠면조 : 칠면조
0105131000,0105.13,오리,오리 : 번식용
0105139000,0105.13,오리,오리 : 기타
0105140000,0105.14,기타 산 동물,기타 산 동물 : 거위
0105150000,0105.15,기타 산 동물,기타 산 동물 : 기니아새
0105941000,0105.94,닭,닭 : 번식용
0105949000,0105.94,닭,닭 : 기타
0105991000,0105.99,, : 오리
0105991010,0105.99,오리,오리 : 번식용
0105991090,0105.99,오리,오리 : 기타
0105992000,0105.99,칠면조,칠면조 : 칠면조
0105999000,0105.99,기타 산 동물,기타 산 동물 : 기타
